Date,PCR_GLOBWB2
2001-01-31,5149.4854
2001-02-28,8172.416
2001-03-31,12616.893
2001-04-30,13463.409
2001-05-31,18441.217
2001-06-30,10349.226
2001-07-31,8752.046
2001-08-31,15879.258
2001-09-30,8142.5386
2001-10-31,3327.4783
2001-11-30,2315.0266
2001-12-31,1551.0953
2002-01-31,1061.9065
2002-02-28,843.3716
2002-03-31,293.4699
2002-04-30,779.36847
2002-05-31,281.4522
2002-06-30,299.8348
2002-07-31,3937.4663
2002-08-31,4642.712
2002-09-30,11381.33
2002-10-31,7161.7256
2002-11-30,8342.839
2002-12-31,5310.7466
2003-01-31,2788.1306
2003-02-28,3063.4478
2003-03-31,7528.35
2003-04-30,6609.0527
2003-05-31,4826.97
2003-06-30,3334.8389
2003-07-31,1108.3885
2003-08-31,3743.7434
2003-09-30,11074.7295
2003-10-31,7562.401
2003-11-30,4789.784
2003-12-31,2307.6516
2004-01-31,1369.627
2004-02-29,1793.3785
2004-03-31,8658.289
2004-04-30,11221.565
2004-05-31,7224.017
2004-06-30,3898.6865
2004-07-31,5264.021
2004-08-31,5782.6997
2004-09-30,4264.323
2004-10-31,7262.844
2004-11-30,6387.433
2004-12-31,4825.8086
2005-01-31,8138.2437
2005-02-28,11855.908
2005-03-31,10148.518
2005-04-30,15144.289
2005-05-31,12985.078
2005-06-30,10299.824
2005-07-31,6885.242
2005-08-31,12276.765
2005-09-30,8489.144
2005-10-31,14019.058
2005-11-30,7297.378
2005-12-31,4330.081
2006-01-31,1700.2683
2006-02-28,448.52454
2006-03-31,925.08856
2006-04-30,1957.51
2006-05-31,2254.1448
2006-06-30,1043.3998
2006-07-31,13775.7705
2006-08-31,21773.318
2006-09-30,18843.98
2006-10-31,16680.596
2006-11-30,10328.721
2006-12-31,8193.95
2007-01-31,5808.6304
2007-02-28,4937.91
2007-03-31,10037.125
2007-04-30,9205.262
2007-05-31,13120.318
2007-06-30,8545.279
2007-07-31,7885.4243
2007-08-31,21861.32
2007-09-30,11343.788
2007-10-31,9163.823
2007-11-30,4637.7134
2007-12-31,8902.495
2008-01-31,5716.506
2008-02-29,4713.8804
2008-03-31,4318.244
2008-04-30,5121.165
2008-05-31,9648.11
2008-06-30,8077.9775
2008-07-31,9399.924
2008-08-31,12858.887
2008-09-30,10035.611
2008-10-31,8285.017
2008-11-30,3904.3472
2008-12-31,3031.8264
2009-01-31,1556.2764
2009-02-28,1682.9967
2009-03-31,3591.0413
2009-04-30,5069.271
2009-05-31,8664.652
2009-06-30,7672.0923
2009-07-31,8433.222
2009-08-31,5722.723
2009-09-30,9106.392
2009-10-31,7473.532
2009-11-30,5117.6123
2009-12-31,2879.8962
2010-01-31,2342.1145
2010-02-28,2772.5503
2010-03-31,5963.6465
2010-04-30,14013.781
2010-05-31,7297.939
2010-06-30,5595.199
2010-07-31,5831.8486
2010-08-31,12058.012
2010-09-30,8542.835
2010-10-31,6854.512
2010-11-30,3563.1028
2010-12-31,2516.8965
2011-01-31,1693.279
2011-02-28,1031.0541
2011-03-31,635.82776
2011-04-30,303.2871
2011-05-31,576.0096
2011-06-30,832.2524
2011-07-31,893.5094
2011-08-31,3610.2505
2011-09-30,3452.3867
2011-10-31,4810.4106
2011-11-30,2791.488
2011-12-31,2161.9714
2012-01-31,1894.4469
2012-02-29,853.2224
2012-03-31,2854.0632
2012-04-30,5287.209
2012-05-31,3313.2454
2012-06-30,541.2141
2012-07-31,2785.9292
2012-08-31,2080.1833
2012-09-30,1782.0294
2012-10-31,226.65182
2012-11-30,154.72963
2012-12-31,149.61314
2013-01-31,248.95071
2013-02-28,240.81956
2013-03-31,587.14496
2013-04-30,279.5243
2013-05-31,650.25366
2013-06-30,716.4907
2013-07-31,6738.7695
2013-08-31,6601.6743
2013-09-30,13567.957
2013-10-31,4561.5103
2013-11-30,4061.2056
2013-12-31,3186.6787
2014-01-31,1310.9028
2014-02-28,1362.7646
2014-03-31,1486.4
2014-04-30,2274.2595
2014-05-31,3760.4578
2014-06-30,4158.818
2014-07-31,5318.9727
2014-08-31,15533.099
2014-09-30,7938.465
2014-10-31,7611.4976
2014-11-30,4779.187
2014-12-31,5670.7363
2015-01-31,3622.2517
2015-02-28,3975.153
2015-03-31,6537.9805
2015-04-30,5102.0347
2015-05-31,14821.364
2015-06-30,13583.015
2015-07-31,12188.87
2015-08-31,16392.035
2015-09-30,8304.157
2015-10-31,8208.807
2015-11-30,6604.1147
2015-12-31,6701.776
