Date,PCR_GLOBWB2
1958-11-30,2923.809
1958-12-31,1136.7333
1959-01-31,595.9125
1959-02-28,717.41345
1959-03-31,569.07916
1959-04-30,6727.8975
1959-05-31,10176.7295
1959-06-30,6818.362
1959-07-31,4883.0034
1959-08-31,15013.332
1959-09-30,2652.4146
1959-10-31,7078.419
1959-11-30,10294.717
1959-12-31,3589.5535
1960-01-31,2085.7827
1960-02-29,791.4084
1960-03-31,7687.4893
1960-04-30,11966.771
1960-05-31,8997.615
1960-06-30,10218.419
1960-07-31,6013.041
1960-08-31,4140.7314
1960-09-30,1457.5435
1960-10-31,12169.403
1960-11-30,4646.3975
1960-12-31,1438.9841
1961-01-31,673.76764
1961-02-28,1958.8851
1961-03-31,3691.4456
1961-04-30,8082.6377
1961-05-31,8186.349
1961-06-30,7543.414
1961-07-31,8451.427
1961-08-31,17277.348
1961-09-30,12184.092
1961-10-31,5708.6226
1961-11-30,5587.031
1961-12-31,1839.9218
1962-01-31,744.72736
1962-02-28,5578.893
1962-03-31,1758.4083
1962-04-30,8211.178
1962-05-31,5820.194
1962-06-30,3342.095
1962-07-31,3391.9602
1962-08-31,8828.912
1962-09-30,6172.364
1962-10-31,6826.2197
1962-11-30,2404.3735
1962-12-31,2926.166
1963-01-31,736.33124
1963-02-28,2697.897
1963-03-31,2939.0806
1963-04-30,5698.5923
1963-05-31,5966.1646
1963-06-30,1452.7244
1963-07-31,4614.417
1963-08-31,9363.555
1963-09-30,9400.144
1963-10-31,3291.1653
1963-11-30,2476.45
1963-12-31,336.11353
1964-01-31,135.64375
1964-02-29,108.69967
1964-03-31,1056.1866
1964-04-30,5858.743
1964-05-31,7497.089
1964-06-30,4182.7007
1964-07-31,3372.8286
1964-08-31,17769.719
1964-09-30,6653.575
1964-10-31,1784.0024
1964-11-30,1103.7114
1964-12-31,710.98224
1965-01-31,575.29297
1965-02-28,790.5751
1965-03-31,684.162
1965-04-30,12971.754
1965-05-31,16568.66
1965-06-30,21243.12
1965-07-31,12794.79
1965-08-31,30720.818
1965-09-30,11888.629
1965-10-31,7536.6157
1965-11-30,4050.0894
1965-12-31,5404.1113
1966-01-31,1864.827
1966-02-28,891.6314
1966-03-31,2633.5234
1966-04-30,4378.901
1966-05-31,7136.8657
1966-06-30,4916.258
1966-07-31,13805.536
1966-08-31,15156.425
1966-09-30,7889.4966
1966-10-31,2575.797
1966-11-30,1116.9158
1966-12-31,2867.0183
1967-01-31,589.9757
1967-02-28,475.15683
1967-03-31,1469.5604
1967-04-30,1007.8645
1967-05-31,2333.142
1967-06-30,9610.495
1967-07-31,13407.672
1967-08-31,28127.68
1967-09-30,9626.133
1967-10-31,2587.8215
1967-11-30,1009.1373
1967-12-31,690.0949
1968-01-31,541.6592
1968-02-29,1664.4757
1968-03-31,3572.6375
1968-04-30,5949.984
1968-05-31,10368.72
1968-06-30,10706.535
1968-07-31,5829.901
1968-08-31,29524.385
1968-09-30,4578.3125
1968-10-31,2649.4172
1968-11-30,1418.3588
1968-12-31,496.62866
1969-01-31,1929.4628
