gauge_id,gauge_name,country,gauge_lat,gauge_lon,area
camelsch_2247,Sortie_du_lac_des_Brenets,CH,47.08,6.71,865.0622781515277
camelsch_2251,Plaffeien-Schwyberg,CH,46.69,7.28,1.685027443712285
camelsch_2252,Plaffeien-Schwyberg,CH,46.69,7.29,1.372893392881544
camelsch_2256,Pontresina,CH,46.49,9.9,66.35643444834926
camelsch_2262,Pontresina,CH,46.49,9.91,106.63470841310938
camelsch_2263,La_Punt-Chamues-ch,CH,46.57,9.94,73.1633494502042
camelsch_2265,Tarasp,CH,46.79,10.28,1576.585125701186
camelsch_2268,Gletsch,CH,46.56,8.36,39.31067606779048
camelsch_2269,Blatten,CH,46.42,7.82,77.16715568909356
camelsch_2270,Combe_des_Sarrasins,CH,47.2,6.88,995.8331964008382
camelsch_2276,Isenthal,CH,46.91,8.56,43.74943704211884
camelsch_2282,Wasen-Kurzeneialp,CH,47.02,7.84,0.5620769780012703
camelsch_2283,Wasen-Riedbad,CH,47.02,7.89,0.6036730006795543
camelsch_2288,Neuhausen-Flurlingerbrücke,CH,47.68,8.63,11848.441300189756
camelsch_2289,Basel-Rheinhalle,CH,47.56,7.62,35732.06537219414
camelsch_2290,St-Sulpice,CH,46.91,6.56,103.78225595517992
camelsch_2299,Erstfeld-Bodenberg,CH,46.81,8.6,20.62767013480849
camelsch_2300,Euthal-Rüti,CH,47.08,8.81,58.970107402250896
camelsch_2303,Jonschwil-Mühlau,CH,47.41,9.08,491.5412610618418
camelsch_2304,Zernez-Punt_la_Drossa,CH,46.66,10.19,55.10689572885678
camelsch_2305,Herisau-Zellersmühle,CH,47.4,9.26,16.674353292349117
camelsch_2307,Sonceboz,CH,47.2,7.17,126.89504223668514
camelsch_2308,Goldach-Bleiche,CH,47.49,9.47,50.259685018833785
camelsch_2309,Horn-Farbmühle,CH,47.49,9.47,0.6427456901013615
camelsch_2312,Salmsach-Hungerbühl,CH,47.55,9.36,47.24445060668526
camelsch_2319,Zernez,CH,46.69,10.12,26.874427410007687
camelsch_2321,Pregassona,CH,46.02,8.96,75.57623727312819
camelsch_2327,Davos-Kriegsmatte,CH,46.78,9.88,42.74656253087516
camelsch_2342,Brig,CH,46.32,7.99,76.31477864745952
camelsch_2343,Huttwil-Häberenbad,CH,47.12,7.83,59.76075645981433
camelsch_2346,Brig,CH,46.32,7.98,903.6675166167544
camelsch_2347,Roveredo-Bacino_di_compenso,CH,46.2,9.17,8.102061121315105
camelsch_2349,Chiasso-Ponte_di_Polenta,CH,45.85,9.01,46.96984778608623
camelsch_2351,Visp,CH,46.28,7.88,783.6988284759747
camelsch_2352,Linthal-Ausgleichsbecken_KLL,CH,46.92,8.99,146.48384184279428
camelsch_2355,Davos-Frauenkirch,CH,46.76,9.79,183.189222491124
camelsch_2356,Cavergno-Pontit,CH,46.37,8.54,23.85340578427056
camelsch_2364,Piotta,CH,46.52,8.67,158.47020952496706
camelsch_2366,La_Rösa,CH,46.4,10.07,14.05299460328876
camelsch_2368,Locarno-Solduno,CH,46.17,8.77,926.3538688885376
camelsch_2369,Yvonand-La_Mauguettaz,CH,46.78,6.72,105.01906961643536
camelsch_2370,Le_Noirmont-La_Goule,CH,47.23,6.93,1043.9259856191693
camelsch_2371,Le_Chenit-Frontière,CH,46.55,6.15,45.72485564546046
camelsch_2372,Mollis-Linthbrücke,CH,47.1,9.07,598.5938202934028
camelsch_2374,Mogelsberg-Aachsäge,CH,47.36,9.12,87.84828905440683
camelsch_2378,Orbe-Le_Chalet,CH,46.73,6.52,341.88469765545807
camelsch_2386,Frauenfeld,CH,47.57,8.89,212.67431358941616
camelsch_2387,Fürstenau,CH,46.72,9.45,1572.6849576926486
camelsch_2392,Rheinau,CH,47.64,8.6,11868.677730231324
camelsch_2403,Cinuos-Chel,CH,46.64,10.02,731.532380264716
camelsch_2409,Eggiwil-Heidbüel,CH,46.87,7.8,124.02918613363327
