date,tmin,tmax,prcp,srad,vp,pet,dayl,QObs,area,latitude,elevation
1980-01-15,-5.6324186,2.5807884,5.0017548,188.42516,409.65854,0.7669872282503142,35891.96883543609,0.05017825032423321,1219077979.0992,35.9045882806,2598.4744374761
1980-01-16,-7.6185045,2.8992646,0.0,304.8729,338.08972,0.8288256138294169,35966.689774916165,0.05419251035017187,1219077979.0992,35.9045882806,2598.4744374761
1980-01-17,-8.09765,1.7979903,0.0,292.4526,324.56494,0.7678888537286421,36043.92457433171,0.0561996403631412,1219077979.0992,35.9045882806,2598.4744374761
1980-01-18,-6.464303,0.3310769,6.948567,164.69432,381.3861,0.6443333900991909,36123.61473413896,0.05820677037611052,1219077979.0992,35.9045882806,2598.4744374761
1980-01-19,-4.688466,-1.1753463,9.762482,89.34482,433.84885,0.4708086603802843,36205.70107301918,0.06021390038907985,1219077979.0992,35.9045882806,2598.4744374761
1980-01-20,-6.973803,3.8408027,4.910553,239.94583,365.34674,0.9083919850819536,36290.12386356811,0.0561996403631412,1219077979.0992,35.9045882806,2598.4744374761
1980-01-21,-12.608376,7.5182457,0.0,409.83627,229.31705,1.1730956928320726,36376.82296426888,0.05218538033720254,1219077979.0992,35.9045882806,2598.4744374761
1980-01-22,-14.328861,0.44809136,0.0,383.79507,207.58853,0.720928915028861,36465.7379473034,0.05017825032423321,1219077979.0992,35.9045882806,2598.4744374761
1980-01-23,-16.996468,4.249981,0.0,421.298,162.88321,0.9165643852420926,36556.80822180613,0.04817112031126388,1219077979.0992,35.9045882806,2598.4744374761
1980-01-24,-15.427282,7.233976,0.0,427.47595,179.36954,1.1440295204860995,36649.97315221367,0.04616399029829455,1219077979.0992,35.9045882806,2598.4744374761
1980-01-25,-12.208965,5.2812214,0.0,412.27448,234.07674,1.0598080713520646,36745.17217141262,0.04616399029829455,1219077979.0992,35.9045882806,2598.4744374761
1980-01-26,-7.184466,2.3155193,0.0,298.70367,351.0425,0.843901198491536,36842.34488843608,0.04616399029829455,1219077979.0992,35.9045882806,2598.4744374761
1980-01-27,-6.494317,2.5840337,0.0,292.32916,366.07855,0.8576524278488551,36941.43119050612,0.04616399029829455,1219077979.0992,35.9045882806,2598.4744374761
1980-01-28,-4.118808,0.86061543,0.0,172.22218,446.1631,0.6536261824195768,37042.37133926468,0.04817112031126388,1219077979.0992,35.9045882806,2598.4744374761
1980-01-29,-5.107039,0.80316347,7.62999,155.68408,422.11615,0.6948649490305707,37145.10606107847,0.05218538033720254,1219077979.0992,35.9045882806,2598.4744374761
