"Dates","Flow_cfs"
1967-10-01,106
1967-10-02,106
1967-10-03,106
1967-10-04,106
1967-10-05,106
1967-10-06,106
1967-10-07,106
1967-10-08,138
1967-10-09,127
1967-10-10,127
1967-10-11,127
1967-10-12,127
1967-10-13,127
1967-10-14,127
1967-10-15,125
1967-10-16,125
1967-10-17,125
1967-10-18,125
1967-10-19,125
1967-10-20,130
1967-10-21,130
1967-10-22,130
1967-10-23,130
1967-10-24,120
1967-10-25,80
1967-10-26,50
1967-10-27,70
1967-10-28,90
1967-10-29,90
1967-10-30,90
1967-10-31,95
1967-11-01,103
1967-11-02,103
1967-11-03,98
1967-11-04,95
1967-11-05,59
1967-11-06,39
1967-11-07,103
1967-11-08,154
1967-11-09,154
1967-11-10,142
1967-11-11,146
1967-11-12,142
1967-11-13,142
1967-11-14,138
1967-11-15,142
1967-11-16,154
1967-11-17,158
1967-11-18,162
1967-11-19,166
1967-11-20,175
1967-11-21,180
1967-11-22,205
1967-11-23,210
1967-11-24,205
1967-11-25,185
1967-11-26,160
1967-11-27,170
1967-11-28,180
1967-11-29,190
1967-11-30,185
1967-12-01,180
1967-12-02,175
1967-12-03,175
1967-12-04,175
1967-12-05,175
1967-12-06,175
1967-12-07,175
1967-12-08,175
1967-12-09,180
1967-12-10,180
1967-12-11,180
1967-12-12,180
1967-12-13,175
1967-12-14,175
1967-12-15,175
1967-12-16,170
1967-12-17,170
1967-12-18,170
1967-12-19,165
1967-12-20,160
1967-12-21,170
1967-12-22,180
1967-12-23,190
1967-12-24,190
1967-12-25,185
1967-12-26,185
1967-12-27,185
1967-12-28,185
1967-12-29,180
1967-12-30,175
1967-12-31,170
1968-01-01,165
1968-01-02,160
1968-01-03,165
1968-01-04,170
1968-01-05,175
1968-01-06,180
1968-01-07,180
1968-01-08,175
1968-01-09,170
1968-01-10,170
1968-01-11,175
1968-01-12,175
1968-01-13,180
1968-01-14,185
1968-01-15,185
1968-01-16,190
1968-01-17,195
1968-01-18,195
1968-01-19,200
1968-01-20,195
1968-01-21,190
1968-01-22,185
1968-01-23,180
1968-01-24,180
1968-01-25,185
1968-01-26,180
1968-01-27,170
1968-01-28,160
1968-01-29,145
1968-01-30,160
1968-01-31,175
1968-02-01,185
1968-02-02,190
1968-02-03,190
1968-02-04,195
1968-02-05,195
1968-02-06,195
1968-02-07,195
1968-02-08,195
1968-02-09,195
1968-02-10,195
1968-02-11,195
1968-02-12,190
1968-02-13,180
1968-02-14,180
1968-02-15,180
1968-02-16,180
1968-02-17,180
1968-02-18,180
1968-02-19,180
1968-02-20,185
1968-02-21,185
1968-02-22,190
1968-02-23,190
1968-02-24,190
1968-02-25,185
1968-02-26,185
1968-02-27,185
