"Dates","Flow_cfs"
1948-10-01,15100
1948-10-02,14600
1948-10-03,16200
1948-10-04,16200
1948-10-05,16800
1948-10-06,16800
1948-10-07,16800
1948-10-08,16200
1948-10-09,14600
1948-10-10,13600
1948-10-11,12100
1948-10-12,11600
1948-10-13,11100
1948-10-14,10600
1948-10-15,10200
1948-10-16,9800
1948-10-17,9400
1948-10-18,9400
1948-10-19,9000
1948-10-20,8600
1948-10-21,8600
1948-10-22,8210
1948-10-23,8210
1948-10-24,7830
1948-10-25,7470
1948-10-26,7470
1948-10-27,7470
1948-10-28,7120
1948-10-29,7120
1948-10-30,6780
1948-10-31,6780
1948-11-01,6460
1948-11-02,6460
1948-11-03,6150
1948-11-04,6150
1948-11-05,5860
1948-11-06,5860
1948-11-07,5860
1948-11-08,5580
1948-11-09,5580
1948-11-10,5320
1948-11-11,5320
1948-11-12,5080
1948-11-13,5080
1948-11-14,5080
1948-11-15,4860
1948-11-16,4860
1948-11-17,4860
1948-11-18,4860
1948-11-19,4860
1948-11-20,4640
1948-11-21,4640
1948-11-22,4640
1948-11-23,4420
1948-11-24,4420
1948-11-25,4420
1948-11-26,4210
1948-11-27,4210
1948-11-28,4210
1948-11-29,4210
1948-11-30,4210
1948-12-01,4210
1948-12-02,4010
1948-12-03,4010
1948-12-04,4010
1948-12-05,3830
1948-12-06,3830
1948-12-07,3830
1948-12-08,3670
1948-12-09,3670
1948-12-10,3670
1948-12-11,3670
1948-12-12,3670
1948-12-13,3520
1948-12-14,3520
1948-12-15,3520
1948-12-16,3520
1948-12-17,3370
1948-12-18,3370
1948-12-19,3370
1948-12-20,3370
1948-12-21,3220
1948-12-22,3220
1948-12-23,3220
1948-12-24,3220
1948-12-25,3070
1948-12-26,3070
1948-12-27,3070
1948-12-28,3070
1948-12-29,2930
1948-12-30,2930
1948-12-31,2930
1949-01-01,2930
1949-01-02,2930
1949-01-03,2800
1949-01-04,2800
1949-01-05,2800
1949-01-06,2800
1949-01-07,2680
1949-01-08,2680
1949-01-09,2680
1949-01-10,2680
1949-01-11,2680
1949-01-12,2560
1949-01-13,2560
1949-01-14,2560
1949-01-15,2450
1949-01-16,2450
1949-01-17,2450
1949-01-18,2340
1949-01-19,2340
1949-01-20,2340
1949-01-21,2340
1949-01-22,2240
1949-01-23,2240
1949-01-24,2240
1949-01-25,2240
1949-01-26,2140
1949-01-27,2140
1949-01-28,2140
1949-01-29,2140
1949-01-30,2050
1949-01-31,2050
1949-02-01,2050
1949-02-02,2050
1949-02-03,1970
1949-02-04,1970
1949-02-05,1970
1949-02-06,1890
1949-02-07,1890
1949-02-08,1890
1949-02-09,1890
1949-02-10,1890
1949-02-11,1810
1949-02-12,1810
1949-02-13,1810
1949-02-14,1740
1949-02-15,1740
1949-02-16,1740
1949-02-17,1670
1949-02-18,1670
1949-02-19,1670
1949-02-20,1670
1949-02-21,1670
1949-02-22,1610
1949-02-23,1610
1949-02-24,1610
1949-02-25,1610
1949-02-26,1550
1949-02-27,1550
1949-02-28,1550
1949-03-01,1500
1949-03-02,1500
1949-03-03,1500
1949-03-04,1450
1949-03-05,1450
1949-03-06,1450
1949-03-07,1400
1949-03-08,1400
1949-03-09,1400
1949-03-10,1400
1949-03-11,1350
1949-03-12,1350
1949-03-13,1310
1949-03-14,1310
1949-03-15,1310
1949-03-16,1310
1949-03-17,1270
1949-03-18,1270
1949-03-19,1230
1949-03-20,1230
1949-03-21,1190
1949-03-22,1150
1949-03-23,1150
1949-03-24,1150
1949-03-25,1150
1949-03-26,1150
1949-03-27,1150
1949-03-28,1110
1949-03-29,1070
1949-03-30,1070
1949-03-31,1030
1949-04-01,1030
1949-04-02,1030
1949-04-03,992
1949-04-04,992
1949-04-05,992
1949-04-06,992
1949-04-07,958
1949-04-08,958
1949-04-09,958
1949-04-10,926
1949-04-11,926
1949-04-12,896
1949-04-13,896
1949-04-14,896
1949-04-15,867
1949-04-16,896
1949-04-17,926
1949-04-18,926
1949-04-19,926
1949-04-20,926
1949-04-21,896
1949-04-22,896
1949-04-23,896
1949-04-24,867
1949-04-25,867
1949-04-26,838
1949-04-27,838
1949-04-28,810
1949-04-29,810
1949-04-30,810
1949-05-01,867
1949-05-02,838
1949-05-03,867
1949-05-04,838
1949-05-05,838
1949-05-06,838
1949-05-07,810
1949-05-08,810
1949-05-09,783
1949-05-10,758
1949-05-11,758
1949-05-12,758
1949-05-13,758
1949-05-14,758
1949-05-15,734
1949-05-16,710
1949-05-17,687
1949-05-18,664
1949-05-19,642
1949-05-20,621
1949-05-21,579
1949-05-22,558
1949-05-23,537
1949-05-24,516
1949-05-25,495
1949-05-26,495
1949-05-27,495
1949-05-28,495
1949-05-29,495
1949-05-30,474
1949-05-31,474
1949-06-01,474
1949-06-02,474
1949-06-03,474
1949-06-04,474
1949-06-05,474
1949-06-06,474
1949-06-07,474
1949-06-08,454
1949-06-09,454
1949-06-10,474
1949-06-11,495
1949-06-12,516
1949-06-13,537
1949-06-14,537
1949-06-15,537
1949-06-16,537
1949-06-17,537
1949-06-18,600
1949-06-19,687
1949-06-20,734
1949-06-21,783
1949-06-22,783
1949-06-23,783
1949-06-24,810
1949-06-25,867
1949-06-26,867
1949-06-27,867
1949-06-28,867
1949-06-29,867
1949-06-30,867
1949-07-01,867
1949-07-02,867
1949-07-03,838
1949-07-04,810
1949-07-05,783
1949-07-06,783
1949-07-07,783
1949-07-08,810
1949-07-09,867
1949-07-10,867
1949-07-11,896
1949-07-12,958
1949-07-13,958
1949-07-14,958
1949-07-15,926
1949-07-16,926
1949-07-17,896
1949-07-18,896
1949-07-19,992
1949-07-20,992
1949-07-21,992
1949-07-22,1070
1949-07-23,1070
1949-07-24,1110
1949-07-25,1150
1949-07-26,1150
1949-07-27,1230
1949-07-28,1230
1949-07-29,1230
1949-07-30,1230
1949-07-31,1230
1949-08-01,1270
1949-08-02,1310
1949-08-03,1310
1949-08-04,1350
1949-08-05,1350
1949-08-06,1400
1949-08-07,1400
1949-08-08,1450
1949-08-09,1450
1949-08-10,1450
1949-08-11,1450
1949-08-12,1500
1949-08-13,1500
1949-08-14,1500
1949-08-15,1500
1949-08-16,1500
1949-08-17,1500
1949-08-18,1500
1949-08-19,1500
